Energy (eV),Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5,Spectra 6
4.551769927,8.60E-10,1.57E-33,6.66E-21,12.25632345,3.55E-13,9.52E-21
4.546128013,9.67E-10,2.24E-33,8.39E-21,12.87897288,4.27E-13,1.20E-20
4.540486099,1.09E-09,3.21E-33,1.06E-20,13.52636361,5.13E-13,1.51E-20
4.534844184,1.22E-09,4.60E-33,1.33E-20,14.19906348,6.17E-13,1.90E-20
4.52920227,1.37E-09,6.57E-33,1.67E-20,14.89762912,7.41E-13,2.38E-20
4.523560356,1.54E-09,9.38E-33,2.10E-20,15.6226042,8.90E-13,2.99E-20
4.517918442,1.73E-09,1.34E-32,2.63E-20,16.37451765,1.07E-12,3.76E-20
4.512276527,1.95E-09,1.91E-32,3.30E-20,17.1538819,1.28E-12,4.72E-20
4.506634613,2.18E-09,2.72E-32,4.14E-20,17.96119095,1.54E-12,5.91E-20
4.500992699,2.45E-09,3.87E-32,5.19E-20,18.7969185,1.84E-12,7.41E-20
4.495350785,2.75E-09,5.51E-32,6.50E-20,19.66151599,2.20E-12,9.29E-20
4.489708871,3.08E-09,7.83E-32,8.14E-20,20.55541066,2.64E-12,1.16E-19
4.484066956,3.46E-09,1.11E-31,1.02E-19,21.47900349,3.16E-12,1.46E-19
4.478425042,3.88E-09,1.58E-31,1.28E-19,22.43266722,3.77E-12,1.82E-19
4.472783128,4.35E-09,2.24E-31,1.59E-19,23.41674427,4.51E-12,2.28E-19
4.467141214,4.87E-09,3.17E-31,1.99E-19,24.43154472,5.39E-12,2.85E-19
4.4614993,5.45E-09,4.49E-31,2.49E-19,25.4773442,6.44E-12,3.56E-19
4.455857385,6.11E-09,6.34E-31,3.11E-19,26.55438187,7.68E-12,4.44E-19
4.450215471,6.84E-09,8.97E-31,3.88E-19,27.66285833,9.16E-12,5.54E-19
4.444573557,7.66E-09,1.27E-30,4.84E-19,28.80293358,1.09E-11,6.91E-19
4.438931643,8.57E-09,1.79E-30,6.03E-19,29.97472501,1.30E-11,8.61E-19
4.433289729,9.58E-09,2.52E-30,7.51E-19,31.17830536,1.55E-11,1.07E-18
4.427647814,1.07E-08,3.55E-30,9.36E-19,32.41370082,1.84E-11,1.34E-18
4.4220059,1.20E-08,5.00E-30,1.16E-18,33.68088902,2.20E-11,1.66E-18
4.416363986,1.34E-08,7.03E-30,1.45E-18,34.97979723,2.61E-11,2.07E-18
4.410722072,1.50E-08,9.88E-30,1.80E-18,36.3103005,3.10E-11,2.57E-18
4.405080157,1.67E-08,1.39E-29,2.24E-18,37.67221993,3.69E-11,3.20E-18
4.399438243,1.87E-08,1.95E-29,2.78E-18,39.06532096,4.38E-11,3.97E-18
4.393796329,2.09E-08,2.73E-29,3.45E-18,40.48931178,5.19E-11,4.93E-18
4.388154415,2.33E-08,3.83E-29,4.29E-18,41.94384185,6.16E-11,6.12E-18
4.382512501,2.60E-08,5.36E-29,5.32E-18,43.42850044,7.30E-11,7.59E-18
4.376870586,2.90E-08,7.49E-29,6.59E-18,44.94281535,8.65E-11,9.41E-18
4.371228672,3.24E-08,1.05E-28,8.16E-18,46.48625169,1.02E-10,1.17E-17
4.365586758,3.61E-08,1.46E-28,1.01E-17,48.05821084,1.21E-10,1.44E-17
4.359944844,4.02E-08,2.04E-28,1.25E-17,49.65802944,1.44E-10,1.79E-17
4.35430293,4.49E-08,2.85E-28,1.55E-17,51.28497866,1.70E-10,2.21E-17
4.348661015,5.00E-08,3.97E-28,1.91E-17,52.93826344,2.01E-10,2.73E-17
4.343019101,5.57E-08,5.52E-28,2.37E-17,54.61702202,2.37E-10,3.38E-17
4.337377187,6.20E-08,7.68E-28,2.92E-17,56.32032558,2.80E-10,4.17E-17
4.331735273,6.91E-08,1.07E-27,3.61E-17,58.04717799,3.30E-10,5.15E-17
4.326093358,7.69E-08,1.48E-27,4.45E-17,59.79651581,3.89E-10,6.36E-17
4.320451444,8.56E-08,2.06E-27,5.49E-17,61.5672084,4.59E-10,7.84E-17
4.31480953,9.52E-08,2.85E-27,6.77E-17,63.35805827,5.41E-10,9.67E-17
4.309167616,1.06E-07,3.95E-27,8.34E-17,65.16780152,6.37E-10,1.19E-16
4.303525702,1.18E-07,5.47E-27,1.03E-16,66.99510857,7.50E-10,1.47E-16
4.297883787,1.31E-07,7.57E-27,1.26E-16,68.838585,8.82E-10,1.81E-16
4.292241873,1.46E-07,1.05E-26,1.56E-16,70.69677263,1.04E-09,2.22E-16
4.286599959,1.62E-07,1.45E-26,1.91E-16,72.56815075,1.22E-09,2.73E-16
4.280958045,1.80E-07,1.99E-26,2.35E-16,74.45113761,1.43E-09,3.36E-16
4.275316131,2.00E-07,2.75E-26,2.89E-16,76.34409204,1.68E-09,4.12E-16
4.269674216,2.22E-07,3.79E-26,3.54E-16,78.24531528,1.97E-09,5.06E-16
4.264032302,2.46E-07,5.22E-26,4.35E-16,80.15305305,2.32E-09,6.21E-16
4.258390388,2.73E-07,7.18E-26,5.33E-16,82.0654978,2.71E-09,7.62E-16
4.252748474,3.03E-07,9.87E-26,6.54E-16,83.98079107,3.18E-09,9.34E-16
4.247106559,3.36E-07,1.36E-25,8.01E-16,85.89702617,3.72E-09,1.14E-15
4.241464645,3.73E-07,1.86E-25,9.81E-16,87.81225094,4.36E-09,1.40E-15
4.235822731,4.13E-07,2.55E-25,1.20E-15,89.72447077,5.10E-09,1.71E-15
4.230180817,4.58E-07,3.49E-25,1.47E-15,91.63165174,5.96E-09,2.10E-15
4.224538903,5.07E-07,4.78E-25,1.80E-15,93.53172394,6.97E-09,2.56E-15
4.218896988,5.62E-07,6.55E-25,2.20E-15,95.42258498,8.14E-09,3.13E-15
4.213255074,6.22E-07,8.95E-25,2.68E-15,97.30210365,9.51E-09,3.83E-15
4.20761316,6.89E-07,1.22E-24,3.28E-15,99.1681237,1.11E-08,4.67E-15
4.201971246,7.62E-07,1.67E-24,4.00E-15,101.0184678,1.29E-08,5.70E-15
4.196329332,8.44E-07,2.27E-24,4.88E-15,102.8509416,1.51E-08,6.95E-15
4.190687417,9.33E-07,3.10E-24,5.94E-15,104.6633379,1.76E-08,8.48E-15
4.185045503,1.03E-06,4.22E-24,7.24E-15,106.4534411,2.05E-08,1.03E-14
4.179403589,1.14E-06,5.74E-24,8.82E-15,108.2190313,2.38E-08,1.26E-14
4.173761675,1.26E-06,7.80E-24,1.07E-14,109.9578891,2.77E-08,1.53E-14
4.168119761,1.39E-06,1.06E-23,1.31E-14,111.6677999,3.22E-08,1.86E-14
4.162477846,1.54E-06,1.44E-23,1.59E-14,113.3465589,3.75E-08,2.26E-14
4.156835932,1.70E-06,1.95E-23,1.93E-14,114.9919753,4.35E-08,2.75E-14
4.151194018,1.88E-06,2.64E-23,2.35E-14,116.6018773,5.05E-08,3.34E-14
4.145552104,2.07E-06,3.58E-23,2.85E-14,118.1741169,5.86E-08,4.06E-14
4.139910189,2.29E-06,4.84E-23,3.46E-14,119.7065742,6.80E-08,4.92E-14
4.134268275,2.53E-06,6.54E-23,4.19E-14,121.1971629,7.88E-08,5.97E-14
4.128626361,2.79E-06,8.84E-23,5.08E-14,122.643834,9.13E-08,7.24E-14
4.122984447,3.07E-06,1.19E-22,6.16E-14,124.0445815,1.06E-07,8.77E-14
4.117342533,3.39E-06,1.61E-22,7.46E-14,125.3974462,1.22E-07,1.06E-13
4.111700618,3.74E-06,2.17E-22,9.04E-14,126.7005207,1.42E-07,1.29E-13
4.106058704,4.12E-06,2.92E-22,1.09E-13,127.9519538,1.64E-07,1.55E-13
4.10041679,4.54E-06,3.93E-22,1.32E-13,129.1499547,1.89E-07,1.88E-13
4.094774876,5.00E-06,5.28E-22,1.60E-13,130.2927975,2.19E-07,2.27E-13
4.089132962,5.50E-06,7.09E-22,1.93E-13,131.378825,2.52E-07,2.74E-13
4.083491047,6.06E-06,9.52E-22,2.33E-13,132.4064532,2.91E-07,3.31E-13
4.077849133,6.67E-06,1.28E-21,2.82E-13,133.3741748,3.36E-07,4.00E-13
4.072207219,7.33E-06,1.71E-21,3.40E-13,134.2805627,3.87E-07,4.82E-13
4.066565305,8.07E-06,2.29E-21,4.10E-13,135.1242742,4.46E-07,5.81E-13
4.06092339,8.87E-06,3.06E-21,4.94E-13,135.9040533,5.14E-07,7.00E-13
4.055281476,9.75E-06,4.10E-21,5.95E-13,136.618735,5.92E-07,8.43E-13
4.049639562,1.07E-05,5.47E-21,7.16E-13,137.267247,6.81E-07,1.01E-12
4.043997648,1.18E-05,7.30E-21,8.62E-13,137.8486134,7.82E-07,1.22E-12
4.038355734,1.29E-05,9.74E-21,1.04E-12,138.3619564,8.99E-07,1.47E-12
4.032713819,1.42E-05,1.30E-20,1.25E-12,138.8064991,1.03E-06,1.76E-12
4.027071905,1.56E-05,1.73E-20,1.50E-12,139.181567,1.19E-06,2.12E-12
4.021429991,1.71E-05,2.30E-20,1.80E-12,139.4865898,1.36E-06,2.54E-12
4.015788077,1.88E-05,3.06E-20,2.16E-12,139.7211032,1.56E-06,3.05E-12
4.010146163,2.06E-05,4.06E-20,2.60E-12,139.8847495,1.79E-06,3.66E-12
4.004504248,2.26E-05,5.39E-20,3.11E-12,139.977279,2.05E-06,4.38E-12
3.998862334,2.48E-05,7.15E-20,3.73E-12,139.9985504,2.35E-06,5.25E-12
3.99322042,2.72E-05,9.47E-20,4.47E-12,139.9485312,2.69E-06,6.29E-12
3.987578506,2.98E-05,1.25E-19,5.36E-12,139.8272979,3.07E-06,7.53E-12
3.981936592,3.27E-05,1.66E-19,6.42E-12,139.6350354,3.52E-06,9.01E-12
3.976294677,3.58E-05,2.19E-19,7.68E-12,139.3720372,4.02E-06,1.08E-11
3.970652763,3.92E-05,2.90E-19,9.19E-12,139.038704,4.59E-06,1.29E-11
3.965010849,4.29E-05,3.83E-19,1.10E-11,138.635543,5.24E-06,1.54E-11
3.959368935,4.70E-05,5.05E-19,1.31E-11,138.1631668,5.98E-06,1.83E-11
3.95372702,5.14E-05,6.65E-19,1.57E-11,137.6222914,6.82E-06,2.19E-11
3.948085106,5.62E-05,8.76E-19,1.87E-11,137.0137346,7.77E-06,2.61E-11
3.942443192,6.15E-05,1.15E-18,2.24E-11,136.338414,8.86E-06,3.11E-11
3.936801278,6.72E-05,1.52E-18,2.67E-11,135.5973449,1.01E-05,3.71E-11
3.931159364,7.35E-05,1.99E-18,3.18E-11,134.791637,1.15E-05,4.41E-11
3.925517449,8.03E-05,2.62E-18,3.80E-11,133.9224927,1.31E-05,5.25E-11
3.919875535,8.78E-05,3.43E-18,4.52E-11,132.9912031,1.48E-05,6.25E-11
3.914233621,9.59E-05,4.50E-18,5.39E-11,131.9991454,1.69E-05,7.43E-11
3.908591707,0.000104694,5.89E-18,6.41E-11,130.9477795,1.92E-05,8.83E-11
3.902949793,0.000114298,7.71E-18,7.63E-11,129.8386441,2.18E-05,1.05E-10
3.897307878,0.000124752,1.01E-17,9.08E-11,128.6733533,2.47E-05,1.24E-10
3.891665964,0.000136126,1.32E-17,1.08E-10,127.4535922,2.80E-05,1.48E-10
3.88602405,0.000148498,1.72E-17,1.28E-10,126.1811137,3.17E-05,1.75E-10
3.880382136,0.000161953,2.25E-17,1.53E-10,124.8577332,3.60E-05,2.08E-10
3.874740221,0.000176581,2.93E-17,1.81E-10,123.4853253,4.07E-05,2.46E-10
3.869098307,0.00019248,3.82E-17,2.15E-10,122.0658188,4.61E-05,2.91E-10
3.863456393,0.000209756,4.97E-17,2.55E-10,120.6011922,5.21E-05,3.45E-10
3.857814479,0.000228524,6.47E-17,3.03E-10,119.0934695,5.90E-05,4.08E-10
3.852172565,0.000248906,8.41E-17,3.59E-10,117.5447154,6.66E-05,4.82E-10
3.84653065,0.000271036,1.09E-16,4.26E-10,115.9570301,7.53E-05,5.70E-10
3.840888736,0.000295056,1.42E-16,5.05E-10,114.3325456,8.50E-05,6.73E-10
3.835246822,0.000321122,1.84E-16,5.98E-10,112.6734199,9.59E-05,7.94E-10
3.829604908,0.000349399,2.39E-16,7.08E-10,110.9818332,0.000108132,9.37E-10
3.823962994,0.000380068,3.09E-16,8.38E-10,109.2599824,0.00012189,1.11E-09
3.818321079,0.000413321,4.01E-16,9.91E-10,107.5100768,0.000137329,1.30E-09
3.812679165,0.000449367,5.19E-16,1.17E-09,105.7343336,0.000154645,1.53E-09
3.807037251,0.00048843,6.71E-16,1.39E-09,103.9349728,0.000174056,1.81E-09
3.801395337,0.000530751,8.67E-16,1.64E-09,102.1142132,0.000195803,2.13E-09
3.795753422,0.000576588,1.12E-15,1.94E-09,100.2742676,0.000220155,2.50E-09
3.790111508,0.000626222,1.45E-15,2.29E-09,98.41733832,0.000247409,2.94E-09
3.784469594,0.000679951,1.87E-15,2.70E-09,96.54561351,0.000277897,3.46E-09
3.77882768,0.000738098,2.41E-15,3.19E-09,94.66126245,0.000311982,4.06E-09
3.773185766,0.00080101,3.10E-15,3.77E-09,92.76643173,0.000350069,4.76E-09
3.767543851,0.000869058,4.00E-15,4.44E-09,90.86324142,0.000392606,5.59E-09
3.761901937,0.000942643,5.14E-15,5.24E-09,88.95378121,0.000440088,6.56E-09
3.756260023,0.001022192,6.62E-15,6.18E-09,87.04010692,0.000493061,7.68E-09
3.750618109,0.001108166,8.52E-15,7.28E-09,85.12423701,0.000552128,9.00E-09
3.744976195,0.001201059,1.10E-14,8.58E-09,83.20814935,0.000617958,1.05E-08
3.73933428,0.0013014,1.41E-14,1.01E-08,81.2937781,0.000691284,1.23E-08
3.733692366,0.001409759,1.81E-14,1.19E-08,79.38301082,0.000772916,1.44E-08
3.728050452,0.001526742,2.32E-14,1.40E-08,77.47768575,0.000863749,1.69E-08
3.722408538,0.001653004,2.99E-14,1.65E-08,75.57958925,0.000964765,1.97E-08
3.716766624,0.001789242,3.83E-14,1.94E-08,73.69045345,0.001077046,2.30E-08
3.711124709,0.001936206,4.92E-14,2.28E-08,71.81195411,0.001201783,2.69E-08
3.705482795,0.002094697,6.31E-14,2.69E-08,69.94570867,0.001340283,3.14E-08
3.699840881,0.002265572,8.10E-14,3.16E-08,68.09327444,0.001493983,3.66E-08
3.694198967,0.00244975,1.04E-13,3.71E-08,66.25614708,0.001664461,4.26E-08
3.688557052,0.002648213,1.33E-13,4.36E-08,64.4357592,0.001853448,4.96E-08
3.682915138,0.00286201,1.71E-13,5.13E-08,62.63347917,0.002062842,5.78E-08
3.677273224,0.003092263,2.19E-13,6.02E-08,60.85061019,0.002294724,6.73E-08
3.67163131,0.003340173,2.81E-13,7.07E-08,59.08838945,0.002551372,7.83E-08
3.665989396,0.00360702,3.61E-13,8.30E-08,57.34798752,0.002835279,9.10E-08
3.660347481,0.003894174,4.63E-13,9.74E-08,55.63050798,0.003149174,1.06E-07
3.654705567,0.004203096,5.94E-13,1.14E-07,53.93698712,0.00349604,1.23E-07
3.649063653,0.004535346,7.62E-13,1.34E-07,52.2683939,0.003879136,1.43E-07
3.643421739,0.004892588,9.78E-13,1.57E-07,50.62563009,0.004302019,1.65E-07
3.637779825,0.005276598,1.26E-12,1.84E-07,49.00953047,0.004768573,1.92E-07
3.63213791,0.00568927,1.61E-12,2.16E-07,47.42086333,0.005283034,2.22E-07
3.626495996,0.006132623,2.07E-12,2.53E-07,45.86033101,0.005850018,2.57E-07
3.620854082,0.006608808,2.66E-12,2.97E-07,44.32857066,0.006474553,2.98E-07
3.615212168,0.007120117,3.41E-12,3.47E-07,42.82615506,0.007162114,3.45E-07
3.609570253,0.007668991,4.38E-12,4.07E-07,41.35359369,0.007918655,3.99E-07
3.603928339,0.008258032,5.64E-12,4.76E-07,39.91133382,0.008750653,4.61E-07
3.598286425,0.008890005,7.24E-12,5.57E-07,38.49976172,0.009665144,5.33E-07
3.592644511,0.009567855,9.32E-12,6.52E-07,37.11920409,0.010669768,6.16E-07
3.587002597,0.010294715,1.20E-11,7.62E-07,35.76992946,0.011772819,7.11E-07
3.581360682,0.011073916,1.54E-11,8.91E-07,34.45214972,0.01298329,8.20E-07
3.575718768,0.011908999,1.98E-11,1.04E-06,33.16602184,0.014310931,9.45E-07
3.570076854,0.012803728,2.55E-11,1.22E-06,31.91164949,0.015766301,1.09E-06
3.56443494,0.013762103,3.29E-11,1.42E-06,30.68908485,0.017360832,1.26E-06
3.558793026,0.01478837,4.23E-11,1.66E-06,29.49833049,0.019106894,1.45E-06
3.553151111,0.015887038,5.45E-11,1.94E-06,28.33934122,0.021017858,1.66E-06
3.547509197,0.017062896,7.02E-11,2.26E-06,27.21202604,0.023108174,1.91E-06
3.541867283,0.018321021,9.04E-11,2.64E-06,26.11625013,0.025393446,2.20E-06
3.536225369,0.019666803,1.16E-10,3.08E-06,25.05183689,0.027890509,2.53E-06
3.530583455,0.021105956,1.50E-10,3.60E-06,24.0185699,0.030617524,2.90E-06
3.52494154,0.022644536,1.93E-10,4.19E-06,23.01619507,0.033594061,3.33E-06
3.519299626,0.024288962,2.49E-10,4.88E-06,22.0444226,0.036841199,3.82E-06
3.513657712,0.026046037,3.21E-10,5.69E-06,21.10292914,0.040381628,4.38E-06
3.508015798,0.027922963,4.13E-10,6.63E-06,20.19135979,0.044239754,5.02E-06
3.502373883,0.029927366,5.32E-10,7.72E-06,19.30933017,0.048441814,5.75E-06
3.496731969,0.032067318,6.85E-10,8.98E-06,18.45642847,0.053015993,6.59E-06
3.491090055,0.03435136,8.81E-10,1.04E-05,17.63221745,0.057992553,7.54E-06
3.485448141,0.036788526,1.13E-09,1.21E-05,16.83623647,0.063403957,8.62E-06
3.479806227,0.039388368,1.46E-09,1.41E-05,16.06800339,0.069285015,9.86E-06
3.474164312,0.042160983,1.88E-09,1.64E-05,15.32701656,0.075673022,1.13E-05
3.468522398,0.045117043,2.41E-09,1.91E-05,14.61275668,0.082607914,1.29E-05
3.462880484,0.048267819,3.10E-09,2.21E-05,13.92468865,0.090132424,1.47E-05
3.45723857,0.051625214,3.97E-09,2.57E-05,13.26226336,0.098292246,1.68E-05
3.451596656,0.055201797,5.10E-09,2.98E-05,12.62491947,0.107136211,1.91E-05
3.445954741,0.059010829,6.54E-09,3.46E-05,12.01208508,0.116716463,2.18E-05
3.440312827,0.063066301,8.38E-09,4.01E-05,11.42317939,0.127088651,2.48E-05
3.434670913,0.067382971,1.07E-08,4.64E-05,10.85761426,0.138312119,2.82E-05
3.429028999,0.071976397,1.37E-08,5.38E-05,10.31479578,0.150450111,3.21E-05
3.423387084,0.076862977,1.76E-08,6.22E-05,9.794125704,0.163569982,3.66E-05
3.41774517,0.082059988,2.24E-08,7.20E-05,9.29500286,0.177743413,4.16E-05
3.412103256,0.087585627,2.86E-08,8.33E-05,8.816824495,0.193046635,4.72E-05
3.406461342,0.093459057,3.65E-08,9.63E-05,8.35898755,0.209560667,5.36E-05
3.400819428,0.099700444,4.66E-08,0.000111228,7.92088987,0.227371551,6.09E-05
3.395177513,0.10633101,5.93E-08,0.000128454,7.501931354,0.246570598,6.90E-05
3.389535599,0.113373078,7.54E-08,0.000148273,7.101515036,0.267254648,7.83E-05
3.383893685,0.120850119,9.58E-08,0.000171064,6.719048102,0.289526327,8.87E-05
3.378251771,0.128786809,1.22E-07,0.000197258,6.353942842,0.313494315,0.000100519
3.372609857,0.137209073,1.54E-07,0.000227345,6.005617544,0.33927362,0.000113808
3.366967942,0.146144147,1.95E-07,0.000261883,5.673497314,0.366985858,0.000128788
3.361326028,0.155620633,2.47E-07,0.000301508,5.357014846,0.396759542,0.000145665
3.355684114,0.165668551,3.13E-07,0.000346942,5.055611122,0.428730367,0.000164669
3.3500422,0.17631941,3.95E-07,0.000399005,4.768736059,0.463041511,0.000186059
3.344400285,0.187606258,4.98E-07,0.000458629,4.49584909,0.499843929,0.00021012
3.338758371,0.199563757,6.28E-07,0.000526867,4.2364197,0.53929666,0.000237171
3.333116457,0.212228238,7.90E-07,0.000604919,3.989927895,0.581567133,0.000267569
3.327474543,0.22563778,9.93E-07,0.000694137,3.755864624,0.626831472,0.00030171
3.321832629,0.23983227,1.25E-06,0.000796056,3.533732151,0.675274806,0.000340033
3.316190714,0.254853479,1.56E-06,0.00091241,3.323044372,0.72709158,0.000383029
3.3105488,0.270745137,1.96E-06,0.001045156,3.12332709,0.78248586,0.000431242
3.304906886,0.287553008,2.45E-06,0.001196506,2.934118238,0.841671645,0.000485277
3.299264972,0.305324964,3.06E-06,0.001368955,2.754968067,0.904873166,0.000545804
3.293623058,0.324111069,3.82E-06,0.001565314,2.585439287,0.972325191,0.000613567
3.287981143,0.343963661,4.76E-06,0.00178875,2.425107164,1.044273317,0.000689393
3.282339229,0.364937433,5.93E-06,0.002042825,2.273559596,1.120974259,0.000774195
3.276697315,0.387089519,7.38E-06,0.002331548,2.130397131,1.202696131,0.000868986
3.271055401,0.410479585,9.16E-06,0.002659418,1.995232973,1.289718721,0.000974886
3.265413487,0.435169914,1.14E-05,0.003031491,1.867692944,1.382333743,0.001093135
3.259771572,0.461225502,1.41E-05,0.003453433,1.747415424,1.480845093,0.001225102
3.254129658,0.488714149,1.74E-05,0.003931599,1.634051258,1.58556908,0.001372303
3.248487744,0.517706554,2.15E-05,0.004473102,1.527263641,1.696834642,0.001536407
3.24284583,0.548276414,2.65E-05,0.005085902,1.426727985,1.814983547,0.00171926
3.237203915,0.580500521,3.27E-05,0.005778896,1.332131757,1.940370572,0.001922894
3.231562001,0.614458865,4.02E-05,0.006562024,1.243174298,2.073363666,0.002149553
3.225920087,0.650234735,4.94E-05,0.007446377,1.159566636,2.214344079,0.002401706
3.220278173,0.68791482,6.06E-05,0.008444324,1.081031264,2.363706473,0.002682071
3.214636259,0.727589322,7.43E-05,0.009569645,1.007301927,2.521859005,0.00299364
3.208994344,0.769352054,9.10E-05,0.010837678,0.938123372,2.689223377,0.003339701
3.20335243,0.813300556,0.000111176,0.012265483,0.873251111,2.866234854,0.003723869
3.197710516,0.859536196,0.000135709,0.013872015,0.812451153,3.053342249,0.004150115
3.192068602,0.908164291,0.000165431,0.015678319,0.755499747,3.251007875,0.004622795
3.186426688,0.959294209,0.000201391,0.017707741,0.702183105,3.459707448,0.005146689
3.180784773,1.013039488,0.000244834,0.01998615,0.652297123,3.679929961,0.005727037
3.175142859,1.069517945,0.000297245,0.022542193,0.605647105,3.912177503,0.006369582
3.169500945,1.128851794,0.000360384,0.02540756,0.56204747,4.156965046,0.007080611
3.163859031,1.191167757,0.000436339,0.028617275,0.521321475,4.414820169,0.007867002
3.158217116,1.256597181,0.00052758,0.032210018,0.483300917,4.686282743,0.008736282
3.152575202,1.325276152,0.000637028,0.036228458,0.447825853,4.971904564,0.009696675
3.146933288,1.397345611,0.000768127,0.040719629,0.414744312,5.272248923,0.010757165
3.141291374,1.472951467,0.000924934,0.045735327,0.383912005,5.587890128,0.011927562
3.13564946,1.552244715,0.001112221,0.051332537,0.355192049,5.919412968,0.013218565
3.130007545,1.635381543,0.001335591,0.057573895,0.328454684,6.26741211,0.014641843
3.124365631,1.722523456,0.00160161,0.064528187,0.303576996,6.632491446,0.016210112
3.118723717,1.813837378,0.001917964,0.07227088,0.28044265,7.015263365,0.017937218
3.113081803,1.909495766,0.002293632,0.08088469,0.258941619,7.416347971,0.019838233
3.107439889,2.009676724,0.002739089,0.090460198,0.238969927,7.836372227,0.021929548
3.101797974,2.114564104,0.003266533,0.101096497,0.220429391,8.275969039,0.024228984
3.09615606,2.224347615,0.003890145,0.112901893,0.203227372,8.735776268,0.026755899
3.090514146,2.339222925,0.004626388,0.125994643,0.187276534,9.216435676,0.029531309
3.084872232,2.459391766,0.005494335,0.140503747,0.172494607,9.718591804,0.032578018
3.079230318,2.585062026,0.006516054,0.156569785,0.15880416,10.24289078,0.035920753
3.073588403,2.716447847,0.00771703,0.17434581,0.146132379,10.78997904,0.03958631
3.067946489,2.853769716,0.009126648,0.193998284,0.134410852,11.36050204,0.043603708
3.062304575,2.997254552,0.010778731,0.215708077,0.123575365,11.95510282,0.048004356
3.056662661,3.147135792,0.012712143,0.239671519,0.113565706,12.57442054,0.052822223
3.051020746,3.303653465,0.014971469,0.266101504,0.10432547,13.21908897,0.058094033
3.045378832,3.46705427,0.017607765,0.295228658,0.095801884,13.88973489,0.063859452
3.039736918,3.637591646,0.0206794,0.32730256,0.08794563,14.58697639,0.070161306
3.034095004,3.815525829,0.024252987,0.362593024,0.08071068,15.31142122,0.077045797
3.02845309,4.001123918,0.028404415,0.401391439,0.074054144,16.06366495,0.084562742
3.022811175,4.194659919,0.033219994,0.444012169,0.067936119,16.84428914,0.092765817
3.017169261,4.396414795,0.038797711,0.490794012,0.062319552,17.65385951,0.101712823
3.011527347,4.606676498,0.045248616,0.542101711,0.057170112,18.49292392,0.111465958
3.005885433,4.825740004,0.052698339,0.598327534,0.052456068,19.36201044,0.122092114
3.000243519,5.053907332,0.061288757,0.659892894,0.04814818,20.26162532,0.13366318
2.994601604,5.291487557,0.071179802,0.727250033,0.044219592,21.19225091,0.146256366
2.98895969,5.538796819,0.082551442,0.800883754,0.040645749,22.15434359,0.159954544
2.983317776,5.796158313,0.09560582,0.881313195,0.037404304,23.14833162,0.174846604
2.977675862,6.063902282,0.110569575,0.969093655,0.034475054,24.17461304,0.191027826
2.972033947,6.342365985,0.127696348,1.064818454,0.031839872,25.23355347,0.208600276
2.966392033,6.631893672,0.14726947,1.169120827,0.029482657,26.325484,0.227673214
2.960750119,6.932836529,0.169604858,1.282675849,0.027389295,27.45069896,0.248363524
2.955108205,7.245552631,0.195054098,1.406202385,0.025547623,28.60945383,0.27079616
2.949466291,7.570406867,0.224007739,1.54046505,0.023947414,29.80196304,0.295104618
2.943824376,7.907770864,0.256898785,1.686276178,0.022580369,31.02839786,0.321431417
2.938182462,8.258022893,0.294206393,1.844497794,0.021440123,32.28888432,0.349928612
2.932540548,8.62154776,0.336459771,2.016043572,0.020522259,33.58350112,0.380758318
2.926898634,8.998736693,0.384242261,2.201880774,0.019824344,34.91227764,0.414093257
2.92125672,9.389987203,0.43819562,2.403032157,0.019345971,36.27519196,0.450117329
2.915614805,9.795702943,0.499024466,2.620577834,0.01908882,37.67216897,0.489026193
2.909972891,10.21629354,0.567500882,2.855657089,0.019056731,39.10307854,0.53102788
2.904330977,10.65217443,0.644469161,3.109470108,0.019255798,40.56773379,0.576343421
2.898689063,11.10376663,0.730850672,3.383279637,0.019694472,42.0658894,0.625207487
2.893047148,11.57149661,0.827648807,3.67841254,0.020383693,43.59724009,0.677869065
2.887405234,12.05579596,0.93595399,3.996261237,0.021337028,45.16141916,0.734592135
2.88176332,12.55710124,1.056948707,4.338285017,0.02257084,46.75799718,0.795656377
2.876121406,13.07585369,1.191912517,4.706011201,0.02410447,48.38648076,0.861357888
2.870479492,13.61249896,1.342226991,5.101036135,0.025960445,50.04631153,0.932009924
2.864837577,14.1674868,1.509380537,5.525026007,0.028164708,51.7368652,1.007943649
2.859195663,14.74127078,1.694973046,5.979717452,0.030746873,53.45745082,1.089508901
2.853553749,15.33430796,1.900720302,6.466917943,0.033740503,55.20731019,1.177074976
2.847911835,15.94705854,2.12845808,6.988505931,0.037183422,56.98561745,1.271031417
2.842269921,16.57998548,2.380145875,7.546430737,0.041118046,58.79147884,1.371788817
2.836628006,17.23355417,2.657870169,8.142712144,0.045591753,60.62393269,1.479779631
2.830986092,17.90823197,2.963847157,8.779439711,0.050657279,62.48194952,1.595458992
2.825344178,18.60448784,3.300424863,9.458771743,0.056373148,64.36443248,1.719305535
2.819702264,19.32279191,3.670084529,10.18293394,0.062804139,66.2702179,1.851822219
2.81406035,20.06361497,4.075441214,10.95421768,0.070021787,68.19807607,1.993537155
2.808418435,20.82742805,4.519243488,11.77497792,0.078104922,70.14671232,2.145004424
2.802776521,21.61470194,5.004372145,12.64763072,0.087140248,72.11476824,2.306804894
